UniProt1	UniProt2	symbol1	symbol2	evidence type
O14974	O14978	PPP1R12A	ZNF263	exp
O14893	O14980	GEMIN2	XPO1	exp
O14641	O14980	DVL2	XPO1	exp
O00186	O14980	STXBP3	XPO1	exp
O14733	O14980	MAP2K7	XPO1	exp
O00221	O14980	NFKBIE	XPO1	exp
A2A3K4	O14980	PTPDC1	XPO1	exp
O14980	O14980	XPO1	XPO1	exp;ortho
O00571	O14980	DDX3X	XPO1	exp
O14787	O14980	TNPO2	XPO1	exp;pred
O14746	O14980	TERT	XPO1	exp
O00743	O14980	PPP6C	XPO1	exp;ortho
O14965	O14980	AURKA	XPO1	exp
O14640	O14980	DVL1	XPO1	exp
O14867	O14980	BACH1	XPO1	exp;ortho
O14617	O14980	AP3D1	XPO1	exp;ortho
O14939	O14980	PLD2	XPO1	exp
O00165	O14980	HAX1	XPO1	exp
O14639	O14980	ABLIM1	XPO1	exp
A7E2V4	O14980	ZSWIM8	XPO1	exp
B0YJ81	O14980	HACD1	XPO1	exp
A5YKK6	O14980	CNOT1	XPO1	exp
O14757	O14980	CHEK1	XPO1	exp
O00631	O14983	SLN	ATP2A1	exp;pred
O14980	O15027	XPO1	SEC16A	exp
O14829	O15027	PPEF1	SEC16A	exp
O14980	O15037	XPO1	KHNYN	exp
O00541	O15047	PES1	SETD1A	exp
O15078	O15078	CEP290	CEP290	exp
O15105	O15105	SMAD7	SMAD7	exp
O14744	O15105	PRMT5	SMAD7	exp
O14640	O15105	DVL1	SMAD7	exp;ortho;pred
O00233	O15111	PSMD9	CHUK	exp
O14980	O15111	XPO1	CHUK	exp
O15111	O15111	CHUK	CHUK	exp
O14757	O15111	CHEK1	CHUK	exp;pred
O14965	O15111	AURKA	CHUK	exp;pred
O14920	O15111	IKBKB	CHUK	exp;ortho;pred
O00221	O15111	NFKBIE	CHUK	exp;pred
O00214	O15118	LGALS8	NPC1	exp
O15123	O15123	ANGPT2	ANGPT2	exp
O14763	O15126	TNFRSF10B	SCAMP1	exp
O15126	O15126	SCAMP1	SCAMP1	exp
O00161	O15126	SNAP23	SCAMP1	exp;pred
O00165	O15126	HAX1	SCAMP1	exp
O15151	O15151	MDM4	MDM4	exp
O00505	O15151	KPNA3	MDM4	exp
O14757	O15151	CHEK1	MDM4	exp;pred
O15062	O15156	ZBTB5	ZBTB7B	exp
O15156	O15156	ZBTB7B	ZBTB7B	exp
O15164	O15164	TRIM24	TRIM24	exp;ortho;pred
A8K8V0	O15164	ZNF785	TRIM24	exp
O14641	O15169	DVL2	AXIN1	exp;ortho;pred
O14640	O15169	DVL1	AXIN1	exp;pred
O15169	O15169	AXIN1	AXIN1	exp;ortho;pred
O14544	O15169	SOCS6	AXIN1	exp
O15105	O15169	SMAD7	AXIN1	exp;ortho;pred
O14980	O15169	XPO1	AXIN1	exp;ortho
O15259	O15259	NPHP1	NPHP1	exp;ortho;pred
O00487	O15259	PSMD14	NPHP1	exp
O15263	O15263	DEFB4A;DEFB4B	DEFB4A;DEFB4B	exp
O00206	O15263	TLR4	DEFB4A;DEFB4B	exp;pred
O14793	O15273	MSTN	TCAP	exp
O00764	O15294	PDXK	OGT	exp
O15294	O15294	OGT	OGT	exp
O15047	O15294	SETD1A	OGT	exp
O14908	O15294	GIPC1	OGT	exp
O00505	O15297	KPNA3	PPM1D	exp
O15273	O15304	TCAP	SIVA1	exp
O15344	O15344	MID1	MID1	exp
O00487	O15344	PSMD14	MID1	exp
O15111	O15350	CHUK	TP73	exp;pred
O14920	O15350	IKBKB	TP73	exp;pred
O15350	O15350	TP73	TP73	exp;ortho;pred
O14965	O15350	AURKA	TP73	exp;pred
O15151	O15350	MDM4	TP73	exp;pred
O14980	O15350	XPO1	TP73	exp
A6NJU9	O15350	NPIPB13	TP73	exp
O15353	O15353	FOXN1	FOXN1	exp
O15354	O15354	GPR37	GPR37	exp
O00762	O15355	UBE2C	PPM1G	exp
O14978	O15355	ZNF263	PPM1G	exp
O00459	O15357	PIK3R2	INPPL1	exp;pred
O14492	O15357	SH2B2	INPPL1	exp;ortho;pred
O00571	O15357	DDX3X	INPPL1	exp
O14980	O15357	XPO1	INPPL1	exp
O00429	O15371	DNM1L	EIF3D	exp
O00165	O15371	HAX1	EIF3D	exp
B5ME19	O15371	EIF3CL	EIF3D	exp;pred
O00303	O15371	EIF3F	EIF3D	exp;pred
