UniProt1	UniProt2	symbol1	symbol2	evidence type
O95831	Q9HAS0	AIFM1	C17orf75	exp
O95831	Q00653	AIFM1	NFKB2	exp;pred
O95831	Q04206	AIFM1	RELA	exp;pred
O95831	Q8NB90	AIFM1	SPATA5	exp
O95831	Q13322	AIFM1	GRB10	exp
O95831	Q5T3F8	AIFM1	TMEM63B	exp
O95831	Q400G9	AIFM1	AMZ1	exp
O95831	P29353	AIFM1	SHC1	exp
O95831	Q63ZY3	AIFM1	KANK2	exp
O95831	Q15022	AIFM1	SUZ12	exp
O95831	Q96DB2	AIFM1	HDAC11	exp
O95831	Q6NUN9	AIFM1	ZNF746	exp
O95831	Q6UXV4	AIFM1	APOOL	exp
O95831	Q71U36	AIFM1	TUBA1A	exp;pred
O95831	Q93034	AIFM1	CUL5	exp
O95831	Q5S007	AIFM1	LRRK2	exp
O95831	P57075	AIFM1	UBASH3A	exp
O95831	Q96KQ7	AIFM1	EHMT2	exp
O95831	Q13617	AIFM1	CUL2	exp
O95831	Q15773	AIFM1	MLF2	exp
O95831	Q9H0W5	AIFM1	CCDC8	exp
O95831	Q9UGI8	AIFM1	TES	exp
O95831	Q13616	AIFM1	CUL1	exp
O95831	P24468	AIFM1	NR2F2	exp
O95831	P10398	AIFM1	ARAF	exp
O95831	P20333	AIFM1	TNFRSF1B	exp;pred
O95831	P57078	AIFM1	RIPK4	exp
O95831	Q08357	AIFM1	SLC20A2	exp
O95831	Q86VP6	AIFM1	CAND1	exp
O95831	Q8NI37	AIFM1	PPTC7	exp
O95831	P38646	AIFM1	HSPA9	exp;pred
O95831	P36551	AIFM1	CPOX	exp
O95831	Q9NRD1	AIFM1	FBXO6	exp
O95831	Q8WV28	AIFM1	BLNK	exp
O95831	Q9H0U6	AIFM1	MRPL18	exp
O95831	Q13509	AIFM1	TUBB3	exp
O95831	Q13418	AIFM1	ILK	exp
O95831	P07550	AIFM1	ADRB2	exp
O95831	Q92956	AIFM1	TNFRSF14	exp
O95831	Q9BRX2	AIFM1	PELO	exp
O95831	Q14249	AIFM1	ENDOG	exp;ortho
O95831	P21796	AIFM1	VDAC1	exp
O95831	Q13233	AIFM1	MAP3K1	exp;pred
O95831	P16104	AIFM1	H2AFX	exp;ortho
O95831	P55789	AIFM1	GFER	exp
O95831	Q15047	AIFM1	SETDB1	exp
O95831	Q9UKV5	AIFM1	AMFR	exp
O95831	Q9H9B4	AIFM1	SFXN1	exp
O95831	Q9NQC7	AIFM1	CYLD	exp
O95831	Q14258	AIFM1	TRIM25	exp
O95831	Q00325	AIFM1	SLC25A3	exp;pred
O95831	P51617	AIFM1	IRAK1	exp
O95831	P13569	AIFM1	CFTR	exp;pred
O95831	Q92784	AIFM1	DPF3	exp
O95831	Q9UID3	AIFM1	VPS51	exp
O95831	P54819	AIFM1	AK2	exp
O95831	Q504Q3	AIFM1	PAN2	exp
O95831	Q13618	AIFM1	CUL3	exp
O95831	P49411	AIFM1	TUFM	exp
O95831	Q96NL6	AIFM1	SCLT1	exp
O95831	P0DMV8	AIFM1	HSPA1A	exp
O95831	Q9H0R8	AIFM1	GABARAPL1	exp
O95831	Q9H492	AIFM1	MAP1LC3A	exp
O95831	Q8IX03	AIFM1	WWC1	exp
O95831	P05141	AIFM1	SLC25A5	exp;pred
O95831	Q5U5Q3	AIFM1	MEX3C	exp
O95831	P61221	AIFM1	ABCE1	exp
O95831	Q96FW1	AIFM1	OTUB1	exp
O95831	P09622	AIFM1	DLD	exp;pred
O95831	O96008	AIFM1	TOMM40	exp
O95831	P36405	AIFM1	ARL3	exp
O95831	Q9UBS0	AIFM1	RPS6KB2	exp
O95831	Q9UBU9	AIFM1	NXF1	exp
O95831	Q14197	AIFM1	MRPL58	exp
O95831	P21860	AIFM1	ERBB3	exp
O95831	P30480	AIFM1	HLA-B	exp
O95831	Q99496	AIFM1	RNF2	exp
O95831	Q8WXK4	AIFM1	ASB12	exp
O95831	Q15628	AIFM1	TRADD	exp;pred
O95831	P00533	AIFM1	EGFR	exp
O95831	Q9Y276	AIFM1	BCS1L	exp;ortho
O95831	Q9NX70	AIFM1	MED29	exp
O95831	Q658Y4	AIFM1	FAM91A1	exp
O95831	P19838	AIFM1	NFKB1	exp;pred
O95831	Q5JTV8	AIFM1	TOR1AIP1	exp
O95831	Q6PEY2	AIFM1	TUBA3E	exp
O95831	P40692	AIFM1	MLH1	exp;pred
O95831	Q16762	AIFM1	TST	exp
O95831	Q05209	AIFM1	PTPN12	exp
O95831	Q96HS1	AIFM1	PGAM5	exp
O95831	Q99952	AIFM1	PTPN18	exp
O95831	Q9BUV8	AIFM1	C20orf24	exp
O95831	P35226	AIFM1	BMI1	exp
O95831	Q13469	AIFM1	NFATC2	exp
O95831	Q92905	AIFM1	COPS5	exp;pred
O95831	Q8NC60	AIFM1	NOA1	exp
O95831	Q99759	AIFM1	MAP3K3	exp;pred
O95831	P35228	AIFM1	NOS2	exp
O95831	Q9Y572	AIFM1	RIPK3	exp;pred
O95831	P98170	AIFM1	XIAP	exp;pred
O95831	P08559	AIFM1	PDHA1	exp;pred
O95831	P04629	AIFM1	NTRK1	exp
O95831	O95831	AIFM1	AIFM1	exp;ortho;pred
O95831	P03372	AIFM1	ESR1	exp
O95977	Q14344	S1PR4	GNA13	exp
O95977	Q03113	S1PR4	GNA12	exp;pred
O95977	Q9ULP9	S1PR4	TBC1D24	exp
O95977	P63096	S1PR4	GNAI1	exp
O95977	Q00169	S1PR4	PITPNA	exp
P00390	P49736	GSR	MCM2	exp
P00390	Q3MHD2	GSR	LSM12	exp
P00390	Q8NG27	GSR	PJA1	exp
P00390	P43490	GSR	NAMPT	exp
P00390	Q15717	GSR	ELAVL1	exp
P00390	P06400	GSR	RB1	exp
P00390	P10809	GSR	HSPD1	exp
P00390	Q13838	GSR	DDX39B	exp
P00390	P22570	GSR	FDXR	exp
P00390	P05161	GSR	ISG15	exp
P00390	P00966	GSR	ASS1	exp
P00390	P53602	GSR	MVD	exp
P00390	P0CE71	GSR	OCM2	exp
P00390	P00390	GSR	GSR	exp;pred
P00390	P15328	GSR	FOLR1	exp
P00390	Q16719	GSR	KYNU	exp
P00390	Q96KP4	GSR	CNDP2	exp
P00390	P13639	GSR	EEF2	exp
P00390	P04629	GSR	NTRK1	exp
P00390	Q9H6J7	GSR	C11orf49	exp
P00390	P12955	GSR	PEPD	exp
P00390	Q92597	GSR	NDRG1	exp
P00390	P32456	GSR	GBP2	exp
P00390	P05412	GSR	JUN	exp
P00390	Q9Y248	GSR	GINS2	exp
P00390	P30520	GSR	ADSS	exp
P00390	Q15418	GSR	RPS6KA1	exp
P00441	P12277	SOD1	CKB	exp
P00441	P25787	SOD1	PSMA2	exp;pred
P00441	Q12931	SOD1	TRAP1	exp
P00441	Q9Y266	SOD1	NUDC	exp
P00441	Q14596	SOD1	NBR1	exp
P00441	Q00796	SOD1	SORD	exp
P00441	P62937	SOD1	PPIA	exp
P00441	Q93008	SOD1	USP9X	exp
P00441	P37802	SOD1	TAGLN2	exp
P00441	P41219	SOD1	PRPH	exp
P00441	P62888	SOD1	RPL30	exp
P00441	P18669	SOD1	PGAM1	exp
P00441	Q9UBE0	SOD1	SAE1	exp
P00441	Q01469	SOD1	FABP5	exp
P00441	P35244	SOD1	RPA3	exp
P00441	P63172	SOD1	DYNLT1	exp
P00441	P39748	SOD1	FEN1	exp;pred
P00441	P22061	SOD1	PCMT1	exp
P00441	Q9Y224	SOD1	RTRAF	exp
P00441	P24752	SOD1	ACAT1	exp
P00441	Q14697	SOD1	GANAB	exp
P00441	Q9UHV9	SOD1	PFDN2	exp
P00441	P10415	SOD1	BCL2	exp;pred
P00441	P04040	SOD1	CAT	exp
P00441	P35749	SOD1	MYH11	exp
P00441	Q76N89	SOD1	HECW1	exp
P00441	P12270	SOD1	TPR	exp
P00441	P07108	SOD1	DBI	exp;pred
P00441	Q9HC38	SOD1	GLOD4	exp;ortho
P00441	P49773	SOD1	HINT1	exp
P00441	P61081	SOD1	UBE2M	exp
P00441	Q01082	SOD1	SPTBN1	exp
P00441	P26641	SOD1	EEF1G	exp
P00441	Q08J23	SOD1	NSUN2	exp
P00441	Q9NV58	SOD1	RNF19A	exp;pred
P00441	P47813	SOD1	EIF1AX	exp
P00441	P30044	SOD1	PRDX5	exp
P00441	P78371	SOD1	CCT2	exp
P00441	P62333	SOD1	PSMC6	exp
P00441	P0CG47	SOD1	UBB	exp
P00441	P13667	SOD1	PDIA4	exp
P00441	Q12905	SOD1	ILF2	exp
P00441	P22314	SOD1	UBA1	exp
P00441	Q99729	SOD1	HNRNPAB	exp
P00441	P04406	SOD1	GAPDH	exp
P00441	Q15181	SOD1	PPA1	exp
P00441	P61604	SOD1	HSPE1	exp;pred
P00441	P35270	SOD1	SPR	exp
P00441	Q99538	SOD1	LGMN	exp
P00441	Q9BQE5	SOD1	APOL2	exp
P00441	P31153	SOD1	MAT2A	exp
P00441	Q6P3W7	SOD1	SCYL2	exp
P00441	P31937	SOD1	HIBADH	exp
P00441	Q13162	SOD1	PRDX4	exp
P00441	P05455	SOD1	SSB	exp
P00441	Q9Y6Z7	SOD1	COLEC10	exp
P00441	P80723	SOD1	BASP1	exp
P00441	Q13526	SOD1	PIN1	exp;pred
P00441	P06733	SOD1	ENO1	exp
P00441	P61960	SOD1	UFM1	exp
P00441	Q15084	SOD1	PDIA6	exp
P00441	Q9H0I9	SOD1	TKTL2	exp
P00441	P08243	SOD1	ASNS	exp
P00441	P31150	SOD1	GDI1	exp
P00441	P30566	SOD1	ADSL	exp
P00441	P23528	SOD1	CFL1	exp
P00441	Q8N668	SOD1	COMMD1	exp
P00441	Q9Y6H1	SOD1	CHCHD2	exp
P00441	P14625	SOD1	HSP90B1	exp
P00441	P63241	SOD1	EIF5A	exp
P00441	P36871	SOD1	PGM1	exp
P00441	P46940	SOD1	IQGAP1	exp
P00441	P38646	SOD1	HSPA9	exp
P00441	P55036	SOD1	PSMD4	exp
P00441	P02545	SOD1	LMNA	exp
P00441	P30405	SOD1	PPIF	exp
P00441	P07737	SOD1	PFN1	exp
P00441	P61981	SOD1	YWHAG	exp
P00441	P08238	SOD1	HSP90AB1	exp
P00441	P55809	SOD1	OXCT1	exp
P00441	P20962	SOD1	PTMS	exp
P00441	Q96AT9	SOD1	RPE	exp
P00441	Q15796	SOD1	SMAD2	exp
P00441	P15121	SOD1	AKR1B1	exp
P00441	P13473	SOD1	LAMP2	exp
P00441	Q9H0W9	SOD1	C11orf54	exp
P00441	P07741	SOD1	APRT	exp
P00441	Q9Y680	SOD1	FKBP7	exp
P00441	Q13838	SOD1	DDX39B	exp
P00441	P40926	SOD1	MDH2	exp
P00441	Q08257	SOD1	CRYZ	exp
P00441	Q99733	SOD1	NAP1L4	exp
P00441	Q15833	SOD1	STXBP2	exp
P00441	P31946	SOD1	YWHAB	exp;pred
P00441	P56750	SOD1	CLDN17	exp
P00441	Q6NZ36	SOD1	FAAP20	exp
P00441	P00558	SOD1	PGK1	exp
P00441	Q03154	SOD1	ACY1	exp
P00441	P29401	SOD1	TKT	exp
P00441	Q9Y5L4	SOD1	TIMM13	exp;pred
P00441	Q9Y697	SOD1	NFS1	exp
P00441	Q15124	SOD1	PGM5	exp
P00441	P50990	SOD1	CCT8	exp
P00441	P05023	SOD1	ATP1A1	exp
P00441	P27348	SOD1	YWHAQ	exp
P00441	P52815	SOD1	MRPL12	exp
P00441	Q7L9L4	SOD1	MOB1B	exp
P00441	P34949	SOD1	MPI	exp
P00441	Q08209	SOD1	PPP3CA	exp;pred
P00441	Q9NX47	SOD1	MARCH5	exp
P00441	P60900	SOD1	PSMA6	exp;pred
P00441	Q99798	SOD1	ACO2	exp
P00441	P07864	SOD1	LDHC	exp
P00441	P16871	SOD1	IL7R	exp
P00441	Q04760	SOD1	GLO1	exp
P00441	P61088	SOD1	UBE2N	exp;pred
P00441	Q9UNE7	SOD1	STUB1	exp;pred
P00441	Q01085	SOD1	TIAL1	exp
P00441	P31948	SOD1	STIP1	exp
P00441	Q13404	SOD1	UBE2V1	exp
P00441	P09417	SOD1	QDPR	exp
P00441	P07814	SOD1	EPRS	exp
P00441	P49006	SOD1	MARCKSL1	exp
P00441	P54819	SOD1	AK2	exp
P00441	Q9Y2Q3	SOD1	GSTK1	exp
P00441	Q9BQG0	SOD1	MYBBP1A	exp
P00441	P67775	SOD1	PPP2CA	exp;pred
P00441	P25205	SOD1	MCM3	exp
P00441	P09429	SOD1	HMGB1	exp
P00441	P60174	SOD1	TPI1	exp
P00441	Q05086	SOD1	UBE3A	exp
P00441	Q9Y281	SOD1	CFL2	exp
P00441	P31949	SOD1	S100A11	exp
P00441	Q14061	SOD1	COX17	exp
P00441	P25685	SOD1	DNAJB1	exp
P00441	Q9Y657	SOD1	SPIN1	exp
P00441	Q99832	SOD1	CCT7	exp;pred
P00441	P62195	SOD1	PSMC5	exp
P00441	P30626	SOD1	SRI	exp
P00441	P13929	SOD1	ENO3	exp
P00441	P14550	SOD1	AKR1A1	exp;pred
P00441	P14652	SOD1	HOXB2	exp
P00441	Q8N9N2	SOD1	ASCC1	exp
P00441	Q8N163	SOD1	CCAR2	exp
P00441	P50213	SOD1	IDH3A	exp
P00441	P30086	SOD1	PEBP1	exp;pred
P00441	P05198	SOD1	EIF2S1	exp
P00441	P13010	SOD1	XRCC5	exp
P00441	Q7Z6Z7	SOD1	HUWE1	exp
P00441	P14868	SOD1	DARS	exp;pred
P00441	Q5RKV6	SOD1	EXOSC6	exp
P00441	P62191	SOD1	PSMC1	exp
P00441	P30153	SOD1	PPP2R1A	exp
P00441	P36969	SOD1	GPX4	exp
P00441	P07195	SOD1	LDHB	exp
P00441	Q13200	SOD1	PSMD2	exp
P00441	P35998	SOD1	PSMC2	exp
P00441	P17174	SOD1	GOT1	exp
P00441	P55327	SOD1	TPD52	exp
P00441	P29692	SOD1	EEF1D	exp
P00441	P51151	SOD1	RAB9A	exp
P00441	Q9H2H8	SOD1	PPIL3	exp
P00441	P17931	SOD1	LGALS3	exp
P00441	Q6ZMR3	SOD1	LDHAL6A	exp
P00441	P68106	SOD1	FKBP1B	exp
P00441	Q14152	SOD1	EIF3A	exp
P00441	Q9H0B6	SOD1	KLC2	exp
P00441	P09936	SOD1	UCHL1	exp
P00441	P09211	SOD1	GSTP1	exp
P00441	P04179	SOD1	SOD2	exp;pred
P00441	Q9BZZ5	SOD1	API5	exp
P00441	Q86YZ3	SOD1	HRNR	exp
P00441	Q53H82	SOD1	LACTB2	exp
